date,lat,lon,ind
2018-09-27,40.7162469,-74.0334588,1844
2018-09-27,40.7192517,-74.034234,1844
2018-09-27,40.7162469,-74.0334588,1845
2018-09-27,40.7124188237569,-74.03852552175522,1845
2018-09-27,40.7162469,-74.0334588,1846
2018-09-27,40.7124188237569,-74.03852552175522,1846
2018-09-27,40.7242941,-74.0354826,1847
2018-09-27,40.7162469,-74.0334588,1847
2018-09-27,40.7162469,-74.0334588,1848
2018-09-27,40.7124188237569,-74.03852552175522,1848
2018-09-27,40.7124188237569,-74.03852552175522,1849
2018-09-27,40.7162469,-74.0334588,1849
2018-09-27,40.71835519823214,-74.03891444206238,1850
2018-09-27,40.7162469,-74.0334588,1850
2018-09-27,40.7192517,-74.034234,1851
2018-09-27,40.7162469,-74.0334588,1851
2018-09-27,40.7127742,-74.0364857,1852
2018-09-27,40.7162469,-74.0334588,1852
2018-09-27,40.7162469,-74.0334588,1853
2018-09-27,40.7272235,-74.0337589,1853
2018-09-27,40.7162469,-74.0334588,1854
2018-09-27,40.71848892,-74.047726625,1854
2018-09-27,40.7162469,-74.0334588,1855
2018-09-27,40.71848892,-74.047726625,1855
2018-09-27,40.7162469,-74.0334588,1856
2018-09-27,40.7112423,-74.0557013,1856
2018-09-27,40.7162469,-74.0334588,1857
2018-09-27,40.7177325,-74.043845,1857
2018-09-27,40.7162469,-74.0334588,1858
2018-09-27,40.7124188237569,-74.03852552175522,1858
2018-09-27,40.7162469,-74.0334588,1859
2018-09-27,40.7192517,-74.034234,1859
2018-09-27,40.7162469,-74.0334588,1860
2018-09-27,40.7127742,-74.0364857,1860
2018-09-27,40.7141454,-74.0335519,1861
2018-09-27,40.7162469,-74.0334588,1861
2018-09-27,40.7162469,-74.0334588,1862
2018-09-27,40.7443187,-74.0439909,1862
2018-09-27,40.721650724879986,-74.04288411140442,1863
2018-09-27,40.7162469,-74.0334588,1863
2018-09-27,40.72152515,-74.046304543,1864
2018-09-27,40.7162469,-74.0334588,1864
2018-09-27,40.7211236,-74.03805095,1865
2018-09-27,40.7162469,-74.0334588,1865
2018-09-27,40.74590996631558,-74.0572714805603,1866
2018-09-27,40.7162469,-74.0334588,1866
2018-09-27,40.7192517,-74.034234,1867
2018-09-27,40.7162469,-74.0334588,1867
2018-09-27,40.7127742,-74.0364857,1868
2018-09-27,40.7162469,-74.0334588,1868
2018-09-27,40.71649,-74.04105,1869
2018-09-27,40.7162469,-74.0334588,1869
2018-09-27,40.727595966,-74.044247311,1870
2018-09-27,40.7162469,-74.0334588,1870
2018-09-27,40.71649,-74.04105,1871
2018-09-27,40.7162469,-74.0334588,1871
2018-09-27,40.721650724879986,-74.04288411140442,1872
2018-09-27,40.7162469,-74.0334588,1872
2018-09-27,40.7162469,-74.0334588,1873
2018-09-27,40.7177325,-74.043845,1873
2018-09-27,40.7177325,-74.043845,1874
2018-09-27,40.7162469,-74.0334588,1874
2018-09-27,40.7162469,-74.0334588,1875
2018-09-27,40.7272235,-74.0337589,1875
2018-09-27,40.7124188237569,-74.03852552175522,1876
2018-09-27,40.7162469,-74.0334588,1876
2018-09-27,40.7162469,-74.0334588,1877
2018-09-27,40.7272235,-74.0337589,1877
2018-09-27,40.71458403535893,-74.04281705617905,1878
2018-09-27,40.7162469,-74.0334588,1878
2018-09-27,40.71958611647166,-74.04311746358871,1879
2018-09-27,40.7162469,-74.0334588,1879
2018-09-27,40.7127742,-74.0364857,1880
2018-09-27,40.7162469,-74.0334588,1880
2018-09-27,40.71458403535893,-74.04281705617905,1881
2018-09-27,40.7162469,-74.0334588,1881
2018-09-27,40.7124188237569,-74.03852552175522,1882
2018-09-27,40.7162469,-74.0334588,1882
2018-09-27,40.7141454,-74.0335519,1883
2018-09-27,40.7162469,-74.0334588,1883
2018-09-27,40.71517767732029,-74.03768330812454,1884
2018-09-27,40.7162469,-74.0334588,1884
2018-09-27,40.7162469,-74.0334588,1885
2018-09-27,40.7124188237569,-74.03852552175522,1885
2018-09-27,40.7162469,-74.0334588,1886
2018-09-27,40.71458403535893,-74.04281705617905,1886
2018-09-27,40.7162469,-74.0334588,1887
2018-09-27,40.7127742,-74.0364857,1887
2018-09-27,40.71848892,-74.047726625,1888
2018-09-27,40.7162469,-74.0334588,1888
2018-09-27,40.7162469,-74.0334588,1889
2018-09-27,40.71649,-74.04105,1889
2018-09-27,40.7211236,-74.03805095,1890
2018-09-27,40.7162469,-74.0334588,1890
2018-09-27,40.7162469,-74.0334588,1891
2018-09-27,40.7287448,-74.0321082,1891
2018-09-27,40.71649,-74.04105,1892
2018-09-27,40.7162469,-74.0334588,1892
2018-09-27,40.7124188237569,-74.03852552175522,1893
2018-09-27,40.7162469,-74.0334588,1893
2018-09-27,40.7162469,-74.0334588,1894
2018-09-27,40.7127742,-74.0364857,1894
2018-09-27,40.7162469,-74.0334588,1895
2018-09-27,40.7127742,-74.0364857,1895
2018-09-27,40.7162469,-74.0334588,1896
2018-09-27,40.71458403535893,-74.04281705617905,1896
2018-09-27,40.7162469,-74.0334588,1897
2018-09-27,40.7211236,-74.03805095,1897
2018-09-27,40.7162469,-74.0334588,1898
2018-09-27,40.71517767732029,-74.03768330812454,1898
2018-09-27,40.7162469,-74.0334588,1899
2018-09-27,40.7211236,-74.03805095,1899
2018-09-27,40.71649,-74.04105,1900
2018-09-27,40.7162469,-74.0334588,1900
2018-09-27,40.7162469,-74.0334588,1901
2018-09-27,40.7192517,-74.034234,1901
2018-09-27,40.7127742,-74.0364857,1902
2018-09-27,40.7162469,-74.0334588,1902
2018-09-27,40.7162469,-74.0334588,1903
2018-09-27,40.721630142638354,-74.04996782541275,1903
2018-09-27,40.7127742,-74.0364857,1904
2018-09-27,40.7162469,-74.0334588,1904
2018-09-27,40.7162469,-74.0334588,1905
2018-09-27,40.7127742,-74.0364857,1905
2018-09-27,40.7127742,-74.0364857,1906
2018-09-27,40.7162469,-74.0334588,1906
2018-09-27,40.7162469,-74.0334588,1907
2018-09-27,40.71649,-74.04105,1907
2018-09-27,40.7162469,-74.0334588,2900
2018-09-27,40.7141454,-74.0335519,2900
2018-09-27,40.7162469,-74.0334588,2901
2018-09-27,40.7141454,-74.0335519,2901
2018-09-27,40.7162469,-74.0334588,2902
2018-09-27,40.7141454,-74.0335519,2902
2018-09-27,40.71835519823214,-74.03891444206238,2903
2018-09-27,40.7141454,-74.0335519,2903
2018-09-27,40.7177325,-74.043845,2904
2018-09-27,40.7141454,-74.0335519,2904
