date,lat,lon,ind
2019-07-10,40.72601172964625,-74.05038893222809,12149
2019-07-10,40.7211236,-74.03805095,12149
2019-07-10,40.72152515,-74.046304543,12150
2019-07-10,40.71346382669195,-74.06285852193832,12150
2019-07-10,40.72333158646436,-74.04595255851744,12151
2019-07-10,40.727595966,-74.044247311,12151
2019-07-10,40.71458403535893,-74.04281705617905,12152
2019-07-10,40.727595966,-74.044247311,12152
2019-07-10,40.727595966,-74.044247311,12153
2019-07-10,40.71458403535893,-74.04281705617905,12153
2019-07-10,40.727595966,-74.044247311,12154
2019-07-10,40.7124188237569,-74.03852552175522,12154
2019-07-10,40.72568548362901,-74.04879033565521,12155
2019-07-10,40.7124188237569,-74.03852552175522,12155
2019-07-10,40.71958611647166,-74.04311746358871,12156
2019-07-10,40.71942,-74.05099,12156
2019-07-10,40.71958611647166,-74.04311746358871,12157
2019-07-10,40.71942,-74.05099,12157
2019-07-10,40.71958611647166,-74.04311746358871,12158
2019-07-10,40.71346382669195,-74.06285852193832,12158
2019-07-10,40.71958611647166,-74.04311746358871,12159
2019-07-10,40.7241765,-74.0506564,12159
2019-07-10,40.7112423,-74.0557013,12160
2019-07-10,40.71346382669195,-74.06285852193832,12160
2019-07-10,40.71113,-74.0789,12161
2019-07-10,40.72152515,-74.046304543,12161
2019-07-10,40.7311689,-74.0575736,12162
2019-07-10,40.7376037,-74.0524783,12162
2019-07-10,40.72333158646436,-74.04595255851744,12163
2019-07-10,40.72601172964625,-74.05038893222809,12163
2019-07-10,40.74590996631558,-74.0572714805603,12164
2019-07-10,40.737711,-74.066921,12164
2019-07-10,40.7127742,-74.0364857,12165
2019-07-10,40.71653978099194,-74.0496379137039,12165
2019-07-10,40.7246050998869,-74.07840594649315,12166
2019-07-10,40.73089709786179,-74.06391263008118,12166
2019-07-10,40.7211236,-74.03805095,12167
2019-07-10,40.7141454,-74.0335519,12167
2019-07-10,40.72601172964625,-74.05038893222809,12168
2019-07-10,40.7192517,-74.034234,12168
2019-07-10,40.71435836870427,-74.06661093235016,12169
2019-07-10,40.7272235,-74.0337589,12169
2019-07-10,40.71958611647166,-74.04311746358871,12170
2019-07-10,40.72601172964625,-74.05038893222809,12170
2019-07-10,40.721630142638354,-74.04996782541275,12171
2019-07-10,40.71958611647166,-74.04311746358871,12171
2019-07-10,40.73089709786179,-74.06391263008118,12172
2019-07-10,40.722103786686034,-74.07145500183105,12172
2019-07-10,40.72333158646436,-74.04595255851744,12173
2019-07-10,40.727595966,-74.044247311,12173
2019-07-10,40.727595966,-74.044247311,12174
2019-07-10,40.71958611647166,-74.04311746358871,12174
2019-07-10,40.72568548362901,-74.04879033565521,12175
2019-07-10,40.74871594538023,-74.04044330120087,12175
2019-07-10,40.71458403535893,-74.04281705617905,12176
2019-07-10,40.71958611647166,-74.04311746358871,12176
2019-07-10,40.7287448,-74.0321082,12177
2019-07-10,40.7376037,-74.0524783,12177
2019-07-10,40.73089709786179,-74.06391263008118,12178
2019-07-10,40.7253399253558,-74.06762212514877,12178
2019-07-10,40.71958611647166,-74.04311746358871,12179
2019-07-10,40.727595966,-74.044247311,12179
2019-07-10,40.73089709786179,-74.06391263008118,12180
2019-07-10,40.72755146730012,-74.07106071710587,12180
2019-07-10,40.71835519823214,-74.03891444206238,12181
2019-07-10,40.7287448,-74.0321082,12181
2019-07-10,40.7112423,-74.0557013,12182
2019-07-10,40.71458403535893,-74.04281705617905,12182
2019-07-10,40.71958611647166,-74.04311746358871,12183
2019-07-10,40.727595966,-74.044247311,12183
2019-07-10,40.73089709786179,-74.06391263008118,12184
2019-07-10,40.7236589,-74.0641943,12184
2019-07-10,40.71958611647166,-74.04311746358871,12185
2019-07-10,40.72601172964625,-74.05038893222809,12185
2019-07-10,40.71958611647166,-74.04311746358871,12186
2019-07-10,40.72601172964625,-74.05038893222809,12186
2019-07-10,40.71958611647166,-74.04311746358871,12187
2019-07-10,40.72528910781132,-74.04557168483734,12187
2019-07-10,40.71835519823214,-74.03891444206238,12188
2019-07-10,40.7242941,-74.0354826,12188
2019-07-10,40.7211236,-74.03805095,12189
2019-07-10,40.71958611647166,-74.04311746358871,12189
2019-07-10,40.7177325,-74.043845,12190
2019-07-10,40.7112423,-74.0557013,12190
2019-07-10,40.71958611647166,-74.04311746358871,12191
2019-07-10,40.71458403535893,-74.04281705617905,12191
2019-07-10,40.7242941,-74.0354826,12192
2019-07-10,40.72333158646436,-74.04595255851744,12192
2019-07-10,40.71928220070702,-74.07126188278198,12193
2019-07-10,40.73089709786179,-74.06391263008118,12193
2019-07-10,40.7376037,-74.0524783,12194
2019-07-10,40.73367,-74.0625,12194
2019-07-10,40.71835519823214,-74.03891444206238,12195
2019-07-10,40.7127742,-74.0364857,12195
2019-07-10,40.7141454,-74.0335519,12196
2019-07-10,40.72601172964625,-74.05038893222809,12196
2019-07-10,40.72755146730012,-74.07106071710587,12197
2019-07-10,40.73089709786179,-74.06391263008118,12197
2019-07-10,40.72528910781132,-74.04557168483734,12198
2019-07-10,40.72601172964625,-74.05038893222809,12198
2019-07-10,40.7141454,-74.0335519,12199
2019-07-10,40.7112423,-74.0557013,12199
2019-07-10,40.71958611647166,-74.04311746358871,12200
2019-07-10,40.71458403535893,-74.04281705617905,12200
2019-07-10,40.72165072487999,-74.04288411140442,12201
2019-07-10,40.7241765,-74.0506564,12201
2019-07-10,40.72165072487999,-74.04288411140442,12202
2019-07-10,40.7241765,-74.0506564,12202
2019-07-10,40.7141454,-74.0335519,12203
2019-07-10,40.727595966,-74.044247311,12203
